name,scenario,exact_rule,warned_against,rationale,numbers,source
Chandelier Exit (ATR trailing from highest high),Trend ride,"Stop = Highest High(22) - 3.0x ATR(22) for longs (mirror for shorts off lowest low); ratchets up only, never moves against the position","Range-bound/choppy markets (whipsaw)","Volatility-scaled distance keeps trader in the trend until a real reversal instead of a fixed level getting clipped by noise","22-period lookback, 3.0x ATR multiplier",https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/chandelier-exit (LeBeau via Elder)
Generic ATR trailing stop,Trend ride,"Trailing stop = highest high since entry minus (ATR x multiplier), recalculated each bar, ratchets only favorably","Using one fixed multiplier across every regime","Adapts stop distance to actual realized volatility instead of an arbitrary fixed percent","1.5-2x ATR (ordinary swing); 2.5-3.5x ATR (strong trend, specifically to avoid shakeout); most swing traders use 2-2.5x. On this repo's own BTC 1h ATR (1.21%), 2.5x = 3.0% price = 60% of margin at 20x",https://protraderdashboard.com/blog/atr-based-stops/ ; https://www.aurra.markets/academy/advanced-guides/the-4-best-trailing-stop-strategies-to-maximize-profit
Swing-low/swing-high structural trailing stop,Trend ride,"Stop trails to the most recent CONFIRMED swing low (long)/high (short), moving only in the favorable direction as new higher lows (or lower highs) print",n/a,"Lets the market's own structure define trend validity instead of an arbitrary distance","none numeric given (matches this repo's step59 X3 module, which won cleanly on the two fast crypto entries tested)",https://mywinnerdays.com/trading-journal/trading-basics/trailing-stop-take-profit/
20-EMA close-below trailing exit,Trend ride (short-term/swing),"Exit when price CLOSES beyond the 20-period EMA; an intrabar wick through it is explicitly not the trigger, only a completed close is","n/a","20-EMA is the trend's short-term 'center of gravity'; a close through it, not a touch, is treated as the real regime change","one daily close below the 20MA cited as sufficient to invalidate the trend regime; NOT tested anywhere in this repo",https://www.tradingsim.com/blog/20-moving-average-pullback ; https://www.tradingwithrayner.com/trailing-stop-loss/
Parabolic SAR trailing stop,Trend ride,"Stop = current SAR dot, ratchets automatically along the trend per the SAR acceleration formula","Range-bound/sideways markets -- 'generates excessive whipsaw'","Automates a trend-following trailing stop mechanically, no discretion required","cited to capture 60-80% of directional moves when trending; pairing with ADX>25 filter cited to cut false signals ~35% (self-reported secondary source, unverified); NOT implemented anywhere in this repo",https://www.tradealgo.com/trading-guides/technical-analysis/parabolic-sar-the-trailing-stop-indicator-for-trend-traders
No fixed target in a trend (trend-follower doctrine),Trend ride,"No profit target at all; position held until the trailing stop is hit, however far that runs","Capping a trend-riding trade with a fixed target","Richard Dennis (Market Wizards): 'never that this structure means up this much and no more' -- a fixed target caps the few huge winners that pay for many small losses",qualitative doctrine; no numeric claim,"Market Wizards interviews (Dennis, Seykota), via https://www.thetrendfollower.com/2016/11/a-famous-lesson-for-turtles-from.html and https://drwealth.com/wisdom-from-market-wizards/"
Range-fade ATR-buffer stop,Mean reversion / range,"Stop placed 1.5-2x ATR beyond the range boundary (support for longs, resistance for shorts), not at the boundary itself","Using this stop sizing in a market trending on a higher timeframe","Buffer absorbs normal wick noise at a widely-tested level without breaking the trade's R:R","worked example: 1H ATR = 10 pips, support 1.2500, stop placed 1.5-2x ATR below. On BTC ATR 1.21%, 1.5-2x = 1.8-2.4% price = 36-48% of margin at 20x",https://fxnx.com/en/blog/mastering-range-trading-math-of-the-middle-avoiding-chop
Range-fade target: POC/midline (not opposite edge),Mean reversion / range,"First target = the range's Point of Control (fair-value/high-volume node) or midline, NOT the opposite boundary","Aiming for the opposite edge as the FIRST target","POC is where the most trading agreement occurred historically, a more probable magnet than the far, less-tested extreme","two-stage variant: first target = moving average/mean, second target = range mid or opposite band -- opposite edge is always at best a SECOND target",https://fxnx.com/en/blog/mastering-range-trading-math-of-the-middle-avoiding-chop
Range trade entry/context checklist,Mean reversion / range,"Require 2-3 clean prior touches/rejections at BOTH range boundaries before the range is tradeable; some variants add a liquidity-sweep-then-reclose confirmation at the edge","Trading an untested (0-1 touch) level","More touches = more market participants have publicly agreed the level matters (matches R85's own S/R checklist finding)",2-3 touches minimum cited,https://blofin.com/en/academy/education/range-trading-strategies ; https://fxnx.com/en/blog/mastering-range-trading-math-of-the-middle-avoiding-chop
Range trade time stop,Mean reversion / range,"Exit if price shows no progress toward the midline within 5-8 candles",n/a,"A range fade that isn't moving toward the mean quickly is more likely a failing fade than a slow winner",5-8 candles,https://blofin.com/en/academy/education/range-trading-strategies
Range fade explicitly warned against strong HTF trend,Mean reversion / range -- failure mode,"Do not apply range-fade stop/target logic when the 'range' is actually a pause inside a higher-timeframe trend","n/a (this IS the warning)","A 15-minute range that is actually a bull flag on the daily chart will 'steamroll' mean-reversion trades -- same word Plisio used in R85 for regular RSI divergence failing in an accelerating trend",n/a -- qualitative but independently convergent with R85's own finding,https://fxnx.com/en/blog/mastering-range-trading-math-of-the-middle-avoiding-chop
Measured-move (flagpole projection) target,Breakout continuation,"Project the height of the prior impulse leg ('flagpole') from the breakout point to get the target",Treating the measured move as a guaranteed destination rather than a first/reference target,Chart-pattern geometry gives a repeatable projection instead of an arbitrary R:R guess,"worked example: pole $50->$70 ($20 tall), breaks out at $67, target = $87. Textbook flags cited at 60-70% continuation rate (self-reported, study not named)",https://finwiz.io/chart-patterns/bull-flag ; https://alchemymarkets.com/education/strategies/continuation-patterns/
Scalp fixed tight stop + fixed tight target,Scalp,"Stop 1-2 pips beyond the entry candle's high/low (5-10 pips on majors generally); fixed target 8-10 pips; no trailing/structural exit used at this timeframe","Using a trailing or structural exit at this timeframe -- too slow, noise dominates","Edge comes from repeating a small, consistent size advantage many times, not from letting any single trade run","1-2 pip buffer, 5-10 pip stop, 8-10 pip target",https://www.tradezella.com/blog/scalping-strategies
Event/news flatten-before-binary-event rule,News/event,"Flatten (or refuse) positions ahead of a scheduled binary event (earnings, major macro print) the thesis didn't already price in","Holding a technical position through a binary event 'that bypasses your technical stop entirely'","A stop-loss level is meaningless against a gap; the only real protection against event risk is not holding through it",n/a -- qualitative rule; directly relevant to this repo's NEWSDESK entry which trades headline events by construction,search synthesis (tradesviz.com / chartingpark.com cluster)
Fast momentum conditional time stop,News/event / scalp,"If the trade hasn't shown expected momentum within a short window, exit regardless of P&L; if it HAS, commit to a longer hold with a trailing stop instead of a static target","Holding indefinitely hoping stalled momentum returns","Momentum decays fast after a news/momentum spike; a stall after the initial window is evidence the move is over, not about to start","windows cited inconsistently across sources: 5 min / 25 min / 1 hour -- no numeric consensus, only the shape of the rule is well-supported",search synthesis (highstrike.com / tradesviz.com cluster)
Scale out 50% at 1R + trail/BE remainder,Cross-scenario (trend/swing),"Close 50% of the position at 1R profit, move the stop on the remainder to breakeven, trail or fixed-target the rest","Very short-duration strategies where the full target could plausibly be hit at full size anyway (per Dave Mabe's counter-view)","Locks in a partial win so a full round-trip back to breakeven doesn't feel like the whole trade was wasted; makes the runner easier to hold through a pullback","one source frames exit METHOD as only 30-40% of exit performance vs 60-70% execution discipline (self-reported, unverified); matches this repo's own step59 X4 shape",https://www.metriclan.com/blog/partial-profit-taking ; https://thetrappedtrader.com/learn/foundations/risk-management/9
Against partial exits -- profit-maximization critique,Cross-scenario,"Take full size to target/trailing stop, never scale out",n/a (this IS the counter-position to scaling out),"Partial exits average a $0.01 win against a $1,000 win identically for 'win rate,' but total dollars are what matters; partials work worst for short-duration strategies, better for long holds/large size/drawdown periods/prop-firm settlement constraints","one cited backtest (single strategy, not general): ~50% of total profit given up when scaling out vs holding full size. This repo's own step59 X4 (its only partial-exit module) is independently the worst or near-worst exit on E1/E2/E4 -- backtest and literature agree without citing each other",https://davemabe.com/should-you-ever-take-partials
Breakeven stop -- pro (risk-free trade),Cross-scenario,"Move stop to entry once price has moved favorably (commonly triggered at 1R)",n/a,"Removes downside risk on that trade entirely; argued to reduce impulsive, fear-driven decisions",qualitative; no expectancy comparison given,https://www.tradingheroes.com/move-stoploss-breakeven/
Breakeven stop -- con (edge destroyer),Cross-scenario,"Never move the stop to breakeven; only the original invalidation level matters",n/a,"'There is never a good time to move your stop loss to breakeven... it is never logical nor strategic' -- moving to BE converts trades that would have become real winners into scratches on an ordinary pullback through entry, lowering expectancy if it wasn't part of the tested rule",qualitative; sources explicitly disagree with the pro case above -- no resolution offered by either side,https://dailypriceaction.com/blog/the-best-time-move-stop-loss-breakeven/ ; https://forums.babypips.com/t/how-long-before-you-move-your-stop-loss-to-be-or-better-on-a-profitable-trade/1206808
"Breakeven stop -- reconciliation (test it, don't feel it)",Cross-scenario,"Backtest whether/when to move to breakeven for the specific system rather than applying it by feel mid-trade",n/a,"'Breakeven is a powerful risk management tool, but only when used as part of a system' -- moved chaotically it turns strategy into randomness. No source in this haul isolates a pure BE-move (no partial) as its own tested variable, and this repo's own step59 X4 always couples BE with a 50% partial -- a pure BE-only test has never been run here",no numeric comparison found in any source,https://www.tradingheroes.com/move-stoploss-breakeven/
ATR stop sized by trading style,Cross-scenario,"Stop distance = ATR x multiplier, sized to holding period",Using one fixed multiplier across every timeframe/instrument; using daily ATR on an intraday trade,Matches stop distance to the actual noise of the timeframe traded rather than an arbitrary percent,"~1.0x ATR (scalp), 1.5-2.0x (day trade), 2.5-3.0x (swing), 3.5x+ (position)",https://traderssecondbrain.com/guides/stop-loss-placement-methods
Structural stop noise buffer (small),Cross-scenario,Place the stop 5-15% of the recent ATR beyond the structural level rather than exactly at it,Placing the stop AT the obvious level (courts algorithmic stop-hunting),Prevents an ordinary wick touch of a well-known level from stopping out a still-valid trade,"5-15% of ATR (disagrees by ~5-10x with the range-fade buffer of 1.5-2x ATR above -- sources do not reconcile whether buffer size should scale with how obvious/watched the level is)",https://traderssecondbrain.com/guides/stop-loss-placement-methods
Fixed-dollar buffer beyond swing level (equities),Cross-scenario / informal,Stop placed $0.10-$0.50 below/above the nearest swing low/high,n/a,Simple non-volatility-adjusted alternative for instrument-specific noise,$0.10-$0.50,search synthesis (tradezella.com / journalplus.co cluster)
Stop beyond the sweep wick extreme (never inside it),Liquidity sweep / stop-hunt (carried from R85),Stop placed beyond the extreme of the sweep wick itself plus a small buffer,Placing the stop INSIDE the sweep wick,Placing it inside the wick recreates the exact stop cluster that just got hunted,qualitative rule -- no fixed numeric size given,https://chartinglens.com/blog/liquidity-sweeps-trading-guide (carried from step85_setups.csv row 32)
Percentage-based stop (no ATR/structure),Cross-scenario / fallback,"Fixed % of price, sized by hold duration",Using across regime shifts and different instruments without adjustment,Simplicity; used as a fallback when structure/ATR analysis isn't feasible,"0.3-0.7% (FX scalp), 0.5-1.5% (day trade), 1-3% (intraday swing), 3-7% (multi-day swing), 7-15% (position)",https://traderssecondbrain.com/guides/stop-loss-placement-methods
Time stop -- conditional 'no progress' exit,Cross-scenario (esp. range/breakout),Exit a trade that has not moved as expected within a defined bar/minute window regardless of price,n/a,A stalled trade with no follow-through signals the original thesis isn't currently being confirmed by order flow; also an opportunity-cost argument for freeing tied-up capital,"e.g. 5-8 candles (range), 5-25 min (momentum) -- distinct from this repo's existing HARD time CAPS (48h/24h/240-bar), which are unconditional maximums not conditional stall-detection",https://atas.net/blog/time-stop-how-to-use-the-time-factor-in-trading/
Moving the stop away from the level (loss-aversion spiral),Cross-scenario -- failure mode,n/a -- this IS the documented failure behavior,This is itself the warned-against behavior,Under loss aversion a trader widens the stop hoping to avoid realizing a loss turning a bounded planned loss into an unbounded one,"illustrative cited example: stop moved $98->$95->$90, exit at $85, loses ~$1500 vs an original planned loss of ~$200 (7.5x amplification)",https://wemastertrade.com/stop-loss-mistakes-risk-management/ ; https://blog.pfhmarkets.com/trading-risk-management/trading-risk-mistakes/
Disposition effect (cut winners short / hold losers long),Cross-scenario -- failure mode,"n/a -- documented cognitive bias, not a rule",n/a,"Losses feel roughly 2x as painful as equivalent gains (prospect theory), so traders instinctively lock in winners early and defer realizing losses","Odean (UC Berkeley, 10,000 brokerage accounts, 1987-1993): investors 1.5x more likely to sell winners than losers even when the loser was the better sale. Finnish dataset: disposition effect costs 3.2-5.7% of average investor returns. This is the one primary-academic-source finding in this file (Shefrin & Statman 1985 origin).",https://faculty.haas.berkeley.edu/odean/papers%20current%20versions/areinvestorsreluctant.pdf ; https://en.wikipedia.org/wiki/Disposition_effect
Revenge trading after a stop-out,Cross-scenario -- failure mode,n/a -- documented behavior pattern,Re-entering immediately after a loss without a plan,Emotional recovery-seeking after a loss overrides the system; trader takes a worse setup or larger size trying to 'get it back',"78% of retail traders who revenge-trade lose more than their initial deposit within 6 months (single secondary-source survey claim, NOT independently verified in this pass)",https://www.axi.com/int/blog/education/revenge-trading ; https://bullishbears.com/revenge-trading/
Whipsaw from a trail set too tight for the regime,Trend ride -- failure mode,n/a -- documented failure pattern,n/a (mirror-image mistake to moving the stop too loose),"A trailing stop or Parabolic SAR sized for a calm regime gets triggered repeatedly by ordinary volatility once the regime shifts, cutting what should be one large winning ride into many small losses",qualitative; named across multiple trend/trailing sources,"https://www.tradealgo.com/trading-guides/technical-analysis/parabolic-sar-the-trailing-stop-indicator-for-trend-traders ; https://www.aurra.markets/academy/advanced-guides/the-4-best-trailing-stop-strategies-to-maximize-profit"
Stop-loss efficacy is regime-conditional (mixed academic verdict),Cross-scenario -- meta-finding,"n/a -- a finding about stop-loss rules generally, not a single rule",Applying any fixed/naive stop-loss rule without checking it against the asset's own return autocorrelation and transaction costs,"Tight stop-loss strategies only outperform buy-and-hold when the asset's returns are meaningfully serially correlated (trending); on mean-reverting/low-autocorrelation assets tight stops can destroy edge and run up costs. At least one cited study (Larry Connors) found the empirically optimal stop level was 'none' for the system tested.","'30+ peer-reviewed studies 1980-2024' claimed by one secondary aggregator -- NOT independently verified against primary literature in this pass, flagged explicitly as an unverified claim",search synthesis of quantifiedstrategies.com plus secondary summaries of sciencedirect/arxiv abstracts
