symbol,family,config,train_n,train_dollars_per_trade,train_pct_of_position,train_x_research_cost,train_x_live_venue_cost,val_n,val_dollars_per_trade,val_pct_of_position,val_x_research_cost,val_x_live_venue_cost,trades_per_year_train,trades_per_year_val,verdict,note
GLD,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, no volume gate",54,93.44,0.8572,21.43,4.76,22,76.31,0.7728,19.32,4.29,4.16,5.08,SURVIVOR,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.16x 20-day average (gold's own 70th percentile)",40,126.88,1.1359,28.4,6.31,14,19.99,0.2581,6.45,1.43,3.08,3.23,SURVIVOR,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.44x 20-day average (gold's own 85th percentile)",28,118.77,1.1219,28.05,6.23,12,-16.76,-0.1058,-2.64,-0.59,2.16,2.77,NOT ENOUGH TRADES,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.20x 20-day average (Bitcoin's literal 1.2x (for comparison only))",38,130.16,1.1707,29.27,6.5,14,19.99,0.2581,6.45,1.43,2.93,3.23,SURVIVOR,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, no volume gate",26,100.48,0.9993,24.98,5.55,15,-21.61,-0.1717,-4.29,-0.95,2.0,3.46,NOT ENOUGH TRADES,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.16x 20-day average (gold's own 70th percentile)",23,86.54,0.8919,22.3,4.95,13,-58.21,-0.5543,-13.86,-3.08,1.77,3.0,NOT ENOUGH TRADES,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.44x 20-day average (gold's own 85th percentile)",20,145.33,1.3885,34.71,7.71,12,-60.07,-0.5682,-14.21,-3.16,1.54,2.77,NOT ENOUGH TRADES,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.20x 20-day average (Bitcoin's literal 1.2x (for comparison only))",22,98.55,0.9988,24.97,5.55,13,-58.21,-0.5543,-13.86,-3.08,1.69,3.0,NOT ENOUGH TRADES,
GLD,1-volume-gated Bollinger breakout,"bands 20/2.5 std, SHORT mirror, no volume gate",25,-171.11,-2.1361,-53.4,-11.87,12,-165.34,-1.756,-43.9,-9.76,1.92,2.77,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, no volume gate",55,83.49,0.7836,19.59,4.35,20,87.38,0.8804,22.01,4.89,4.27,4.66,SURVIVOR,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.13x 20-day average (gold's own 70th percentile)",30,43.18,0.4786,11.96,2.66,14,104.55,1.0753,26.88,5.97,2.33,3.26,SURVIVOR,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.55x 20-day average (gold's own 85th percentile)",19,18.85,0.2742,6.85,1.52,5,-8.68,0.0071,0.18,0.04,1.48,1.16,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.0 std, long only, volume >= 1.20x 20-day average (Bitcoin's literal 1.2x (for comparison only))",29,43.38,0.4836,12.09,2.69,12,109.83,1.1425,28.56,6.35,2.25,2.8,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, no volume gate",27,95.08,0.9497,23.74,5.28,14,-13.35,-0.0845,-2.11,-0.47,2.1,3.26,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.13x 20-day average (gold's own 70th percentile)",18,29.23,0.36,9.0,2.0,12,-33.43,-0.2865,-7.16,-1.59,1.4,2.8,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.55x 20-day average (gold's own 85th percentile)",16,11.75,0.1966,4.92,1.09,4,-310.45,-3.2322,-80.81,-17.96,1.24,0.93,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.5 std, long only, volume >= 1.20x 20-day average (Bitcoin's literal 1.2x (for comparison only))",18,29.23,0.36,9.0,2.0,9,-56.97,-0.5163,-12.91,-2.87,1.4,2.1,NOT ENOUGH TRADES,
IAU,1-volume-gated Bollinger breakout,"bands 20/2.5 std, SHORT mirror, no volume gate",25,-168.44,-2.0867,-52.17,-11.59,11,-173.03,-1.8276,-45.69,-10.15,1.94,2.56,NOT ENOUGH TRADES,
GLD,2-turn of the month,long from 3 trading days before month end through 3 trading days into the new month,157,42.86,0.3687,9.22,2.05,52,54.04,0.503,12.58,2.79,12.09,12.01,SURVIVOR,
GLD,2-turn of the month,long from 1 trading days before month end through 3 trading days into the new month,157,11.78,0.1337,3.34,0.74,52,39.7,0.3848,9.62,2.14,12.09,12.01,SURVIVOR,
GLD,2-turn of the month,long from 4 trading days before month end through 4 trading days into the new month,156,23.9,0.2495,6.24,1.39,52,22.73,0.2376,5.94,1.32,12.01,12.01,SURVIVOR,
GLD,2-turn of the month,long from 3 trading days before month end through 1 trading days into the new month,157,32.8,0.2935,7.34,1.63,52,51.26,0.4701,11.75,2.61,12.09,12.01,SURVIVOR,
GLD,2-turn of the month,long from 1 trading days before month end through 1 trading days into the new month,157,4.65,0.0609,1.52,0.34,52,37.09,0.3497,8.74,1.94,12.09,12.01,SURVIVOR,
GC=F,2-turn of the month,long from 3 trading days before month end through 3 trading days into the new month,187,37.51,0.3207,16.03,1.78,62,33.27,0.3287,16.44,1.83,12.03,12.01,SURVIVOR,
GC=F,2-turn of the month,long from 1 trading days before month end through 3 trading days into the new month,187,16.14,0.1636,8.18,0.91,62,53.03,0.4842,24.21,2.69,12.03,12.01,SURVIVOR,
GC=F,2-turn of the month,long from 4 trading days before month end through 4 trading days into the new month,187,30.88,0.2837,14.19,1.58,62,35.36,0.3493,17.46,1.94,12.03,12.01,SURVIVOR,
GC=F,2-turn of the month,long from 3 trading days before month end through 1 trading days into the new month,187,25.74,0.2348,11.74,1.3,62,33.6,0.321,16.05,1.78,12.03,12.01,SURVIVOR,
GC=F,2-turn of the month,long from 1 trading days before month end through 1 trading days into the new month,187,7.14,0.0797,3.98,0.44,62,53.39,0.4732,23.66,2.63,12.03,12.01,SURVIVOR,
IAU,2-turn of the month,long from 3 trading days before month end through 3 trading days into the new month,155,44.74,0.3823,9.56,2.12,52,62.25,0.5656,14.14,3.14,12.04,12.11,SURVIVOR,
IAU,2-turn of the month,long from 1 trading days before month end through 3 trading days into the new month,155,8.62,0.108,2.7,0.6,51,45.56,0.4336,10.84,2.41,12.04,11.88,SURVIVOR,
IAU,2-turn of the month,long from 4 trading days before month end through 4 trading days into the new month,155,27.78,0.2776,6.94,1.54,52,39.01,0.3771,9.43,2.09,12.04,12.11,SURVIVOR,
IAU,2-turn of the month,long from 3 trading days before month end through 1 trading days into the new month,155,33.36,0.2979,7.45,1.65,52,57.55,0.519,12.98,2.88,12.04,12.11,SURVIVOR,
IAU,2-turn of the month,long from 1 trading days before month end through 1 trading days into the new month,155,1.0,0.0264,0.66,0.15,51,41.09,0.3836,9.59,2.13,12.04,11.88,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), above its own 200-day average",37,28.93,0.3025,7.56,1.68,12,91.99,0.8852,22.13,4.92,2.85,2.77,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), no longer-trend condition (the round-48 mistake)",87,3.01,0.0611,1.53,0.34,25,75.47,0.701,17.52,3.89,6.7,5.77,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.2), above its own 200-day average",30,53.57,0.5209,13.02,2.89,9,69.04,0.6779,16.95,3.77,2.31,2.08,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.2), no longer-trend condition (the round-48 mistake)",74,6.19,0.0882,2.2,0.49,21,43.86,0.4259,10.65,2.37,5.7,4.85,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 8.4), above its own 200-day average",71,18.0,0.2006,5.01,1.11,23,36.94,0.3685,9.21,2.05,5.47,5.31,SURVIVOR,
GLD,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 8.4), no longer-trend condition (the round-48 mistake)",130,-5.45,-0.0268,-0.67,-0.15,41,48.18,0.4504,11.26,2.5,10.01,9.47,FAIL,
GLD,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), above its own 200-day average",57,1.01,0.0466,1.17,0.26,19,66.1,0.6387,15.97,3.55,4.39,4.39,SURVIVOR,
GLD,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), no longer-trend condition (the round-48 mistake)",110,-6.13,-0.0321,-0.8,-0.18,35,61.15,0.5662,14.16,3.15,8.47,8.08,FAIL,
GC=F,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), above its own 200-day average",50,38.76,0.3786,18.93,2.1,15,96.22,0.9196,45.98,5.11,3.22,2.9,SURVIVOR,
GC=F,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), no longer-trend condition (the round-48 mistake)",99,24.02,0.242,12.1,1.34,31,52.95,0.5061,25.31,2.81,6.37,6.0,SURVIVOR,
