rule_id,setup,component,exact_rule,timeframe,discretionary,source_video,timestamp
P01,ALL,precondition/instrument,"Trade ES and NQ index futures only; both charts open simultaneously as a pair. No forex, crypto or single stocks anywhere in 30 videos.",n/a,NO,p2p_time_theory,0:00:18
P02,ALL,precondition/timezone,All charts set to New York/Eastern time regardless of trader location. Every clock rule below is ET.,n/a,NO,p2p_time_theory,0:03:23
P03,ALL,precondition/session-window,Asia 18:00-03:00; London 03:00-08:30; NY pre-market 08:30-09:30; NY open 09:30; NY close 17:00; spread hour 17:00-18:00.,n/a,NO,p2p_time_theory,0:00:53-0:02:10
P04,A,precondition/manipulation-window,Expect the liquidity sweep between 09:30 and 09:50 ET. Soft: he shows a valid one at 09:52 and calls it fine.,1m/5m,NO (soft edges),p2p_time_theory,0:03:46 / 0:09:20
P05,A,precondition/entry-window,Preferred entry window 09:50-10:10 ET ('the macro'). Explicitly soft: he takes entries at 09:45 and 10:20.,1m,NO (soft),p2p_time_theory,0:03:59 / 0:09:39
P06,ALL,precondition/cutoff,"If no setup by 10:30 ET, stand down for the day. Hard personal rule.",n/a,NO,p2p_time_theory,0:05:33
P07,ALL,precondition/HTF-orderflow,Read 4h and 1h trend direction before the open. Trend defined mechanically (HH+HL / LH+LL) but the weighting of conflicting evidence is by eye.,"4h,1h",YES,p2p_strategy_explained,0:21:56
P08,ALL,precondition/level-map,"Before the open, mark on BOTH ES and NQ: previous day H/L, Asia session H/L, London session H/L, 1h swing H/L clusters, 4h swing H/L clusters.","1h,4h,1d",NO,p2p_strategy_explained,0:19:03-0:22:29
P09,ALL,precondition/level-priority,"Which of the marked levels price will target is NOT determined by a rule. Asked directly, he answers that you do not need to know.",n/a,YES (he says so),only_liquidity_guide,0:21:46
P10,ALL,precondition/level-death,A level already pushed past with no reaction is dead and is dropped from the day's map.,any,NO,p2p_strategy_explained,0:22:35
P11,ALL,precondition/HTF-priority,"Higher timeframe levels hold more weight than lower ones. Asserted, never turned into a ranked tie-break algorithm.",all,YES,only_liquidity_guide,n/a
P12,ALL,precondition/daily-bias,Bias = HTF trend direction plus which side holds the unswept liquidity. Formed pre-market.,"4h,1h",YES,p2p_daily_bias,0:02:27
