message_id,relevance_0_3,asset,implied_direction,event_type,reason
9303,1,macro,bullish,opinion,"official stablecoin-dollar framing, no new action"
9306,1,macro,neutral,opinion,generic economic status remark
9307,1,crypto-broad,bullish,company-news,"expands USDC collateral utility, minor product news"
9308,1,BTC,bullish,regulation,state-level minor BTC tax exemption bill
9309,1,crypto-broad,bullish,opinion,"presidential rhetoric, no concrete action"
9310,2,crypto-broad,bullish,regulation,Senate passed crypto market-structure bill
9311,1,crypto-broad,bullish,opinion,"rhetoric, no new info"
9312,0,none,neutral,other,unrelated to crypto/markets
9313,3,equities,bearish,geopolitics,"missile strikes a stock exchange building, major escalation"
9314,2,macro,bullish,opinion,Trump pressures Fed for rate cuts
9316,1,equities,bullish,company-news,"new fintech in-app investing feature, minor"
9317,1,macro,bullish,opinion,"repeat Powell attack, no new info"
9319,0,none,neutral,other,"general cybersecurity breach, not markets-specific"
9323,2,crypto-broad,ambiguous,whale-flows,"large $4.1B options expiry, can drive volatility"
9324,2,macro,bullish,macro-policy,Fed official signals possible July rate cut
9327,1,crypto-broad,bullish,regulation,"Coinbase EU regulatory license, moderate"
9328,1,crypto-broad,bullish,opinion,"CEO opinion, no new info"
9330,2,crypto-broad,bearish,whale-flows,significant $200M liquidation in 60 min
9331,2,crypto-broad,bullish,etf,Bloomberg raises alt-ETF approval odds to 90%
9332,2,macro,bullish,opinion,Trump escalates threat to fire Powell
9334,1,macro,neutral,opinion,"one congressman's stance, unlikely to pass"
9336,0,BTC,neutral,other,"trivia comparison, no new info"
9339,0,BTC,bullish,opinion,"long-horizon speculative prediction, not tradeable"
9340,1,BTC,bearish,other,"price milestone crossed, no new fundamental info"
9342,3,BTC,bullish,adoption,first US state signs BTC reserve into law
9344,1,BTC,bearish,other,"price milestone, no new info"
9345,1,crypto-broad,bearish,other,"price milestone, no new info"
9347,2,crypto-broad,bearish,whale-flows,large $370M liquidation cascade
9348,1,BTC,bullish,opinion,"hint only, no confirmed purchase"
9349,3,macro,bearish,geopolitics,"Iran approves closing Strait of Hormuz, oil chokepoint risk"
9351,1,BTC,bearish,other,"price milestone, no new info"
9353,2,crypto-broad,bearish,whale-flows,large $875M liquidation over 24h
9354,2,BTC,bearish,other,major psychological $100k level breached
9355,2,macro,bearish,geopolitics,"US warns Iran over Hormuz threats, escalation risk"
9356,1,BTC,bearish,other,"price milestone, no new info"
9357,0,none,neutral,other,unrelated Tesla product launch
9359,2,macro,bearish,geopolitics,US pressures China over Iran/Hormuz oil flows
9362,2,BTC,bullish,whale-flows,notable corporate treasury BTC purchase ($111M)
9364,2,BTC,bullish,adoption,public company raises capital for BTC treasury
9365,1,BTC,bullish,whale-flows,routine incremental Strategy purchase
9366,1,macro,neutral,opinion,general oil-price rhetoric
9368,3,BTC,bearish,geopolitics,BTC drops under $100k on imminent Iran attack fears
9370,3,crypto-broad,bullish,regulation,Fed formally eases crypto banking restrictions
9371,2,BTC,bullish,geopolitics,BTC recovers as Trump calls for Iran peace
9374,1,BTC,bullish,other,"price milestone, no new info"
9375,1,BTC,bullish,whale-flows,moderate short-liquidation cascade
9376,0,other,bullish,opinion,"pundit one-word call, low information content"
9377,2,macro,neutral,macro-policy,"Fed chair inflation assessment, mixed signal"
9378,1,macro,neutral,macro-policy,"reassurance remark, no policy change"
9379,2,macro,bearish,macro-policy,Fed signals no rate cut on inflation forecast
9380,2,crypto-broad,bullish,regulation,Fed clarifies banks free to conduct crypto activities
9381,1,crypto-broad,bullish,adoption,payments giant crypto infrastructure partnership
9383,1,crypto-broad,bullish,company-news,large VC funding round for crypto prediction platform
9385,0,crypto-broad,bullish,opinion,"CEO opinion, no new info"
9386,1,crypto-broad,bullish,regulation,"legislative progress update, no vote yet"
9387,2,crypto-broad,bullish,etf,high-profile new BTC/ETH ETF filing
9388,0,crypto-broad,bullish,opinion,generic motivational tweet
9390,1,macro,bullish,opinion,"political pressure on Fed, no policy change"
9392,1,BTC,bullish,other,"price milestone, no new info"
9393,0,equities,neutral,company-news,"equities-only, not crypto-relevant"
9395,1,macro,bullish,opinion,repeat Powell attack rhetoric
9397,1,crypto-broad,bullish,macro-policy,Fed chair positive stablecoin remark
9398,2,macro,bullish,macro-policy,conditional dovish signal tied to trade deals
9399,0,crypto-broad,neutral,opinion,"vague institutional statement, no new info"
9400,3,BTC,bullish,adoption,White House confirms plan to accumulate BTC
9401,2,BTC,bullish,regulation,federal housing regulator recognizes crypto as mortgage asset
9402,1,crypto-broad,bullish,regulation,SEC official self-critical remark on BTC ETPs
9403,2,crypto-broad,bearish,regulation,"XRP case litigation continues, minor setback"
9404,0,BTC,bullish,opinion,"motivational opinion, no new info"
9406,1,crypto-broad,neutral,regulation,vague litigation status update
9407,2,crypto-broad,bullish,regulation,official commits to crypto market-structure bill timeline
9408,2,crypto-broad,bullish,company-news,Coinbase launches new US derivatives product
9409,2,BTC,bullish,opinion,official rhetoric reinforcing BTC accumulation stance
9410,0,other,neutral,other,unrelated manufacturing reshoring news
9411,1,macro,bullish,geopolitics,"trade tension easing signal, EU tariff consideration"
9413,2,macro,bullish,geopolitics,US-China trade deal signed
9415,2,BTC,bullish,adoption,potential large corporate BTC purchase plan
9417,1,macro,bullish,geopolitics,trade deal optimism signal
9418,1,BTC,bullish,whale-flows,"recurring exec buying statement, no size disclosed"
9421,1,crypto-broad,bullish,opinion,vague anticipatory statement
9422,2,macro,bearish,geopolitics,confirms elevated tariff levels amid trade tension
9423,1,macro,bullish,macro-policy,favorable inflation-adjacent data point
9424,0,macro,neutral,opinion,"dismissive rhetoric, no new policy info"
9425,1,BTC,bullish,opinion,"presidential rhetoric, no new action"
9426,1,BTC,bullish,opinion,"presidential rhetoric, no new action"
9427,2,macro,bearish,geopolitics,trade relations breakdown with Canada
9429,1,equities,bullish,other,"equities record close, risk-on backdrop"
9431,3,crypto-broad,bullish,regulation,XRP lawsuit formally resolved after years
9433,1,macro,bullish,opinion,repeat Powell attack rhetoric
9435,2,macro,bullish,opinion,escalated public call for Fed chair resignation
9436,0,BTC,neutral,other,historical trivia
9437,1,macro,bearish,opinion,high-profile critique of major legislation
9439,0,BTC,bullish,opinion,"vague hint, no new info"
9440,2,macro,bullish,opinion,presidential push for aggressive rate cuts
9441,1,other,neutral,regulation,"state law on precious metals, not crypto"
9443,1,macro,bullish,geopolitics,trade friction easing between US/Canada
9444,3,BTC,bullish,whale-flows,very large Strategy BTC purchase ($531M)
9445,1,crypto-broad,bullish,adoption,new tokenized-stocks product in EU
9446,1,crypto-broad,bearish,regulation,"privacy setback for crypto users, minor"
9447,2,macro,bullish,macro-policy,Fed leadership transition process underway
9449,2,crypto-broad,bullish,regulation,stablecoin bill timeline confirmed
9452,1,crypto-broad,bullish,adoption,new staking product launch
9455,1,macro,neutral,macro-policy,repeat of earlier statement
9456,2,macro,bullish,opinion,aggressive rate-cut demand repeated
9457,1,BTC,bullish,regulation,"proposed tax bill, not yet law"
9459,1,macro,bullish,geopolitics,"anticipated trade deal, not yet signed"
9460,1,crypto-broad,bullish,adoption,"major bank plans crypto services, distant timeline"
9461,1,equities,bullish,other,"equities record close, general risk-on"
9462,2,crypto-broad,bullish,regulation,stablecoin issuer seeks federal bank charter
9464,0,other,neutral,other,unrelated AI/healthcare news
9465,2,crypto-broad,bullish,etf,further raised alt-ETF approval odds to 95%
9466,1,BTC,bearish,regulation,"single state rejects BTC reserve, minor"
9467,0,other,neutral,other,"political feud, non-crypto/markets"
9469,2,crypto-broad,bullish,adoption,"major bank crypto custody plan, distant timeline"
9470,0,other,neutral,other,political feud continuation
9472,1,crypto-broad,bullish,macro-policy,Fed chair supportive stablecoin remark
9473,0,other,neutral,other,political feud continuation
9474,1,macro,bullish,opinion,repeat Fed criticism
9475,2,macro,ambiguous,macro-policy,major fiscal bill passes Senate
9476,0,crypto-broad,neutral,other,"philanthropy, not market-moving"
9478,3,crypto-broad,bullish,etf,SEC approves multi-crypto Grayscale ETF conversion
9479,1,macro,bearish,geopolitics,trade deal uncertainty with Japan
9480,2,BTC,bullish,whale-flows,notable corporate treasury BTC ETF allocation
9481,1,macro,bullish,opinion,repeat Powell attack rhetoric
9483,2,BTC,bullish,whale-flows,"BlackRock ETF BTC holdings update, large but routine"
9485,0,BTC,bullish,opinion,"philosophical quote, no new info"
9487,2,macro,bullish,geopolitics,new US-Vietnam trade deal announced
9488,1,BTC,bullish,other,"price milestone, no new info"
9489,1,macro,bearish,macro-policy,political pressure escalation on Fed chair
9490,2,crypto-broad,bullish,regulation,major crypto firm seeks US bank charter
9491,1,BTC,bullish,whale-flows,"ETF revenue comparison, sentiment positive"
9493,1,macro,ambiguous,macro-policy,"legislative blocking threat, outcome uncertain"
9495,1,crypto-broad,bullish,other,"price milestone, no new info"
9497,1,macro,bullish,opinion,repeat escalated Powell rhetoric
9499,1,macro,bullish,geopolitics,trade tension eases on tech export restrictions
9501,1,BTC,bullish,other,"price milestone, no new info"
9502,2,macro,bullish,macro-policy,stronger than expected labor market data
9503,2,macro,bullish,macro-policy,stronger than expected jobs report
9504,1,BTC,bullish,opinion,repeat accumulation rhetoric
9505,1,BTC,bullish,regulation,proposed minor transaction tax exemption
9506,2,macro,ambiguous,macro-policy,major fiscal bill passes House
9507,1,macro,bearish,macro-policy,prediction-market debt forecast
9509,2,crypto-broad,bullish,regulation,dedicated legislative week for crypto bills
9510,2,BTC,ambiguous,whale-flows,"large dormant wallet movement, direction unclear"
9511,0,BTC,neutral,other,historical price trivia
9512,3,BTC,ambiguous,whale-flows,"massive dormant Satoshi-era wallet movement, $8.6B"
9514,1,macro,bearish,geopolitics,new tariff threat on EU food exports
9516,2,macro,ambiguous,macro-policy,major fiscal bill signed into law
9517,0,crypto-broad,neutral,opinion,"nostalgic opinion, no new info"
9519,0,crypto-broad,neutral,other,"trivia stat, no new info"
9520,1,macro,bearish,other,"UK wealth-migration stat, indirect macro signal"
9522,0,crypto-broad,neutral,opinion,"celebrity pop-culture mention, no market info"
9524,1,crypto-broad,neutral,regulation,"law-enforcement anti-scam operation, minor"
9526,0,other,neutral,other,"US political party formation, not crypto/markets"
9528,0,other,neutral,opinion,"political feud, non-crypto"
9529,1,macro,bullish,macro-policy,White House adviser dismisses recession risk
9530,2,macro,ambiguous,geopolitics,new tariff deadline confirmed
9531,2,BTC,bullish,other,"record weekly close, momentum signal"
9532,0,other,neutral,other,political feud
9534,1,BTC,bullish,opinion,new political party signals pro-BTC stance
9536,2,macro,bearish,geopolitics,new tariff threat tied to BRICS alignment
9538,2,BTC,bullish,whale-flows,large corporate BTC purchase ($240.8M)
9540,0,crypto-broad,neutral,opinion,"cautionary opinion, no new info"
9542,1,macro,neutral,geopolitics,"anticipatory trade-deal announcement, no details"
9543,2,crypto-broad,bullish,regulation,DOJ drops appeal in landmark crypto-privacy case
9544,2,macro,bearish,geopolitics,new major tariff on key allies
9545,1,crypto-broad,ambiguous,whale-flows,small government wallet movement
9547,1,crypto-broad,neutral,regulation,"upcoming Senate testimony, no outcome yet"
9548,1,macro,bearish,geopolitics,additional tariffs on smaller economies
9550,1,macro,bearish,geopolitics,"batch tariff announcements, smaller economies"
9551,2,macro,bullish,geopolitics,"lower tariff offer to EU, trade de-escalation"
9553,0,crypto-broad,bullish,opinion,"CEO opinion, no new info"
9554,1,crypto-broad,bullish,regulation,vague legislative rhetoric
9555,1,macro,bullish,opinion,escalated political pressure on Fed chair
9556,2,macro,bullish,opinion,"Trump dismisses inflation impact, demands cuts"
9558,1,macro,bearish,macro-policy,"debt-level milestone, ongoing trend"
9560,0,equities,neutral,company-news,"insider equity sale, not crypto-relevant"
9562,1,macro,neutral,geopolitics,anticipatory trade announcement
9563,1,crypto-broad,bullish,adoption,airline payments integration partnership
9564,1,crypto-broad,bullish,adoption,major custodian bank partnership for stablecoin
9565,1,crypto-broad,bullish,opinion,senator supportive rhetoric
9566,0,other,neutral,company-news,unrelated corporate leadership change
9568,1,macro,bearish,geopolitics,"batch tariff announcements, smaller economies"
9569,0,BTC,neutral,opinion,political sparring over BTC terminology
9570,0,equities,neutral,company-news,"semiconductor/AI news, not crypto-relevant"
9572,0,equities,bearish,company-news,"retail sales data, not crypto-relevant"
9573,1,crypto-broad,bullish,other,"price milestone, no new info"
9575,0,other,neutral,other,unrelated tech product news
9577,0,crypto-broad,bullish,opinion,repeat senator rhetoric
9578,0,none,neutral,other,"channel self-promotion, not news"
9579,0,other,neutral,other,unrelated celebrity/entertainment news
9581,3,BTC,bullish,other,fresh all-time-high milestone
9583,1,BTC,bullish,whale-flows,"unrealized profit update, no new purchase"
9585,2,macro,bearish,geopolitics,steep new tariff on Brazil
9587,2,BTC,bullish,whale-flows,large short-liquidation cascade
9588,1,BTC,bullish,adoption,sovereign reserve unrealized-profit update
9590,2,BTC,bullish,etf,strong ETF trading-volume day
9591,0,crypto-broad,bullish,opinion,"generic opinion, no new info"
9593,1,macro,bullish,opinion,repeat senator call for Fed chair resignation
9595,2,macro,bearish,geopolitics,new steep tariff on copper imports
9596,0,other,neutral,company-news,unrelated AI product launch
9598,1,crypto-broad,bullish,other,"price milestone, no new info"
9600,1,crypto-broad,bullish,opinion,presidential rhetoric on markets
9601,2,crypto-broad,bullish,regulation,Treasury formally removes crypto reporting rule
9602,1,crypto-broad,bullish,adoption,staking product formally launched
9605,2,BTC,bullish,other,incremental new ATH milestone
9607,1,BTC,bullish,whale-flows,moderate short liquidation
9608,1,BTC,bullish,other,"prediction-market odds, not a confirmed event"
9610,1,BTC,bullish,other,"price milestone, no new info"
9611,2,macro,bullish,macro-policy,Fed official signals near-term rate cut possible
9612,0,macro,neutral,regulation,unrelated housing tax bill
9613,1,crypto-broad,bullish,regulation,anticipatory legislative rhetoric
9614,1,BTC,bullish,whale-flows,corporate BTC holdings profit update
9616,0,BTC,bullish,opinion,"rhetorical quote, no new info"
9618,1,equities,bullish,other,equities record close
9620,3,BTC,bullish,other,fresh major all-time high
9622,2,BTC,bullish,whale-flows,large short-liquidation cascade
9623,1,crypto-broad,bullish,other,"price milestone, no new info"
9625,2,crypto-broad,bullish,whale-flows,large single-day market-cap inflow
9626,2,macro,bearish,geopolitics,new steep tariff on Canada
9628,1,BTC,bearish,other,retrospective analysis of past govt BTC sale
9629,0,BTC,bullish,opinion,"retrospective performance stat, not new info"
9630,1,BTC,bullish,other,"price milestone, no new info"
9631,1,crypto-broad,bullish,other,"price milestone, no new info"
9633,3,BTC,bullish,other,fresh all-time-high milestone
9635,1,crypto-broad,bullish,whale-flows,moderate short liquidation
9636,0,BTC,neutral,opinion,generic market commentary
9638,3,BTC,bullish,etf,record-breaking ETF asset-growth milestone
9640,1,BTC,bullish,whale-flows,"unrealized profit update, no new purchase"
9642,1,crypto-broad,bullish,regulation,repeat senator rhetoric on tax bill
9643,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9644,0,BTC,bullish,opinion,"pundit commentary, no new info"
9645,1,crypto-broad,bullish,opinion,anticipatory rhetoric
9646,1,macro,bullish,macro-policy,positive fiscal surplus data point
9647,0,BTC,bullish,opinion,"retrospective performance stat, not new info"
9648,2,macro,bullish,macro-policy,"Fed chair resignation speculation, unconfirmed"
9649,2,BTC,bullish,etf,very strong ETF trading-volume day
9650,2,macro,bearish,geopolitics,steep new tariffs on EU and Mexico
9653,1,macro,bearish,geopolitics,"summary of week's tariff announcements, mostly repeat"
9654,1,crypto-broad,bullish,whale-flows,large token-sale demand signal
9655,0,BTC,bullish,opinion,"rhetorical quote, no new info"
9656,0,BTC,bullish,opinion,"vague hint, no new info"
9657,1,macro,bearish,opinion,confirms legal pressure option on Fed chair
9659,1,BTC,bullish,other,"market-cap milestone, no new info"
9660,3,BTC,bullish,other,fresh all-time-high milestone
9662,1,BTC,bullish,whale-flows,modest short liquidation
9663,1,BTC,bullish,adoption,sovereign reserve value milestone
9665,1,macro,bullish,opinion,political pressure escalation on Fed
9667,0,BTC,bullish,opinion,"rhetorical quote, no new info"
9669,1,BTC,bullish,other,repeat record-close report
9671,1,macro,bullish,opinion,repeat Fed criticism rhetoric
9672,1,BTC,bullish,other,"price milestone, no new info"
9673,1,BTC,bullish,whale-flows,moderate incremental corporate BTC buy
9675,3,BTC,bullish,other,fresh all-time-high milestone
9677,2,BTC,bullish,whale-flows,large short-liquidation cascade
9678,1,BTC,bullish,whale-flows,unrealized profit update
9680,0,BTC,bullish,opinion,"long-term bullish opinion, no new info"
9682,1,BTC,bullish,other,"price milestone, no new info"
9683,2,crypto-broad,bullish,whale-flows,large short liquidation over several hours
9684,1,BTC,bullish,other,"price milestone, no new info"
9685,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9686,1,BTC,bullish,adoption,sovereign reserve value milestone
9688,1,crypto-broad,bullish,regulation,"committee rhetoric, no concrete action"
9689,0,other,neutral,company-news,unrelated AI/defense contract news
9690,2,macro,bearish,geopolitics,tariff threat tied to Russia negotiations deadline
9692,2,BTC,bullish,etf,BTC ETF becomes issuer's top-performing product
9693,0,macro,neutral,opinion,"self-aggrandizing rhetoric, no new info"
