source_url,instrument,timeframe,setup_family,entry_trigger,context_required,stop_rule,target_rule,claimed_outcome,real_or_teaching
https://plisio.net/education/rsi-divergence-bullish-bearish,BTC/USD,Monthly,"RSI divergence (regular, bearish)","Short after monthly RSI prints a lower peak than the prior peak while price prints a new all-time high (Oct 6 2025, $126,272)","Multi-month uptrend already extended to a new ATH; divergence must appear on the HIGHEST timeframe tracked (monthly), not an intraday chart","Not specified in source (article is a post-hoc market recap, not a trade plan)",Not specified in source,"Price corrected roughly 43% from the $126,272 high by year-end 2025",documented real market event (not a specific trader's executed trade with stated entry/stop)
https://plisio.net/education/rsi-divergence-bullish-bearish,ETH/USD,Daily + 4H (dual timeframe),"RSI divergence (regular, bearish)","Short/exit as price makes a new high ($4,953.73, Aug 26 2025) while RSI prints a lower high on BOTH the daily and 4H chart simultaneously","Divergence confirmed on two timeframes at once (daily AND 4h), not just one",Not specified in source,Not specified in source,"Price retraced to the ~$4,400 support area within a few weeks",documented real market event
https://plisio.net/education/rsi-divergence-bullish-bearish,BTC/USD,unspecified (multi-week trend),"RSI divergence (regular, bearish) -- FAILURE CASE","Regular bearish divergence appeared repeatedly as BTC rallied from ~$30,000 to $73,581 (Mar 2024) in ~3 months","Cited by the source as the counter-example: divergence fired DURING a strong, still-accelerating trend rather than at its exhaustion",n/a -- documented as a losing pattern,n/a,Article states divergence-based shorts were 'steamrolled' -- the pattern failed repeatedly while the trend kept extending,"documented real market event, explicitly cited as a divergence TRAP"
https://plisio.net/education/rsi-divergence-bullish-bearish,BTC/USD,Weekly,"RSI divergence (regular, bullish)","Long as price makes a lower low near $15,500 (Nov 2022) while weekly RSI makes a higher low, after RSI had already hit multi-year lows",Followed a capitulation event (FTX collapse); RSI had already reached a multi-year extreme before the higher low formed,Not specified in source,Not specified in source,Marked the cycle bottom; described as the multi-month downtrend's end,documented real market event
https://www.stockgro.club/blogs/trading/bullish-divergence-rsi/,HDFC Bank,Daily,"RSI divergence (regular, bullish)",Enter on bullish confirmation candle after price prints a lower low (mid-June 2022) while RSI prints a higher low at the matching swing,"Article stresses divergence alone is 'not confirmation of trend change' -- requires MACD crossover, price reclaiming a short-term MA, or proximity to established support before acting","Below the second (divergent) swing low, or below the nearest strong support",Previous swing high / nearest resistance,"Price climbed steadily after the confirmation candle (illustrative chart, no P&L stated)",illustrative teaching example
https://pipcy.com/blog/technical-analysis/rsi-divergence,generic (FX pairs used in illustration),4H and Daily recommended,RSI divergence (regular) -- context checklist,Do not enter on the first divergence print -- wait for a confirmation candle (close back through the divergence swing) before acting,"Article's own stated hit-rate ladder: ~45-55% for RSI divergence alone; ~65-75% when combined with support/resistance, supply/demand, or chart-pattern confluence; ~70-80% with volume confirmation added on top. Also: 'only trade divergence in clearly trending markets' at trend EXTREMES, not mid-trend; choppy ranges invalidate the signal","Beyond the confirmation swing extreme (general rule, no fixed distance given)",Not specified numerically,"Stated stat only (45-55% -> 65-75% -> 70-80% by added confluence layer), not a single trade","teaching/statistical claim, self-reported by the source, not independently verified"
https://www.luxalgo.com/blog/5-rsi-entry-strategies-using-support-and-resistance/,generic (any liquid market),"4H, Daily, Weekly recommended",RSI divergence (regular) at S/R -- systematic rule,"Bullish divergence (lower price low, higher RSI low) forming AT a support level that has already been tested twice or more; mirror at resistance for bearish","Level must be 'key support or resistance' with 2+ prior touches; article frames this as a 'trend exhaustion' / 'major turning point' setup, not a mid-range signal",Beyond the recent swing high/low that marks the divergence point,"Next key price level, minimum 2:1 reward:risk","Rule description only, no specific trade P&L given",teaching/rule
https://www.tradingview.com/chart/BTCUSDT/nK8M1LGh-The-Hidden-RSI-Divergence-and-a-LIVE-TRADE/,BTC/USDT (KuCoin),"Multi-timeframe (HTF bias set first, LTF for the trade)",RSI divergence (hidden),"RSI crossing back through its own zero/mid reference combined with a Heiken Ashi candle close beyond a +-10 threshold, aligned with the divergence slope direction",Author establishes support/resistance and RSI slope direction on the higher timeframe BEFORE taking the lower-timeframe trade -- explicitly distinguishes 'hidden' (lows above +10 / highs below -10) from 'regular' divergence by definition,Not stated in the article text (author refers to an accompanying video),Not stated in the article text,Author labels this a live trade taken in real time; outcome not stated in the article text itself,"documented real trade (author's own claim), but key numbers not published in text"
https://www.tradingview.com/chart/BTCUSD/tsFbNa2O-Bitcoin-BTC-and-Hidden-Bullish-Divergence/,BTC/USD (Bitstamp),not stated explicitly,"RSI divergence (hidden, bullish) + shakeout",Enter on the break of a small pennant that forms after price prints a higher low while RSI prints a lower low,"Author's framework: hidden bullish divergence is expected to force out leveraged short positions (a 'shakeout'); once shorts are flushed, underlying bullish momentum can reassert",Not specified,Not specified,Author explicitly disclaims: 'not a foolproof guarantee of a price surge',"illustrative teaching example / published idea, not a closed trade"
https://alchemymarkets.com/education/strategies/hidden-bullish-divergence/,USD/CAD,15-minute,"RSI divergence (hidden, bullish) + trendline break","Close above a descending trendline resistance, after RSI prints a lower low while price prints a higher low","Guide states hidden bullish divergence is 'most effective on hourly timeframes or higher' and must occur DURING an established uptrend of higher highs/higher lows -- explicitly states divergence alone is 'not a long entry signal by itself,' requires a confirmation signal or trade setup on top",Below the recent pivot low,Minimum 1:2 risk:reward,"Pattern took ~50 bars to fully develop before the trendline break trigger (illustrative, no P&L stated)",illustrative teaching example
https://www.tradingsetupsreview.com/rsi-hidden-divergence-pullback-trading-guide/,EUR/USD and GBP/USD,Daily,RSI divergence (hidden) pullback,Mark the RSI level at a pullback's swing pivot; wait for RSI to move beyond that pivot on the next pullback while price holds above/below the prior price swing; time entry with a continuation candle (e.g. pin bar),Guide's own definition: 'hidden divergence occurs when the trend holds up despite the momentum going against it' -- i.e. price STRUCTURE must remain intact (higher lows / lower highs preserved) even as the oscillator disagrees,Volatility-based or pattern-based stop (no fixed numeric rule given),No fixed target; guide suggests exiting when RSI recrosses 30/70 for quick trades,Guide includes one worked FAILURE example (Example #4) where the setup failed at an actual trend reversal -- included specifically to show hidden divergence is not reliable once the trend itself is ending,illustrative teaching examples (mixed: includes an explicit failure case)
