

==============================================================================================================
ROUND 475 - HIS CONTINUATION CONFLUENCES AS PARTITIONS OF ROUND 450's   [r450window]
==============================================================================================================
window 2026-03-01 -> 2026-07-26 UTC (147 days)
choosing -> 2026-05-28 16:00,  middle -> 2026-06-27 05:20,  sealed 2026-06-27 -> 2026-07-26
sealed look permitted from this window: YES
parent population = round 450 arm B (1-minute trigger), unchanged.
confluences read on the FIVE-minute chart (step432 s2), evaluated at
the close of the 1-minute trigger bar. Order blocks and breaker
blocks are NOT built (step436 s1 - he retired them).
cost 0.5% of notional round trip, charged for honesty and
used to decide nothing (owner rule 2026-07-25).
  BTCUSD: 5m 42,537 bars, 1m 208,831 bars, 6,614 five-minute gaps found
  ETHUSD: 5m 40,974 bars, 1m 142,357 bars, 15,297 five-minute gaps found
  SOLUSD: 5m 41,477 bars, 1m 151,280 bars, 12,434 five-minute gaps found

--------------------------------------------------------------------------------------------------------------
WHAT THE CONFLUENCE REQUIREMENT ACTUALLY REMOVES (all entries, all slices)
--------------------------------------------------------------------------------------------------------------
partition                             entries kept   share of parent
parent (bare sweep -> 1m BOS)                7,439            100.0%
EQ                                           3,599             48.4%
FVG                                          1,068             14.4%
EITHER                                       3,975             53.4%
EQ_LEG (reported only, barred)               3,542             47.6%

His own check (step436 s11): he trades a third to two thirds of days.
A partition that keeps nearly everything has not filtered anything.

==============================================================================================================
EACH CELL, PARENT vs PARTITION vs COMPLEMENT  (net %, pooled BTC+ETH+SOL)
==============================================================================================================
cell                                      filter  n_tr    netTR    netVA    parTR    parVA   compTR   stop%    lev
prev day low -> 1m BOS, hold 24h              EQ   130  -0.2276  -0.3693  -0.2748  -0.5776  -0.3193   0.253   3.9x
prev day low -> 1m BOS, hold 24h             FVG    38  -0.2011   0.2085  -0.2748  -0.5776  -0.2870   0.228   4.4x
prev day low -> 1m BOS, hold 24h          EITHER   144  -0.2069  -0.4012  -0.2748  -0.5776  -0.3537   0.255   3.9x
prev day low -> 1m BOS, hold 24h          EQ_LEG   127  -0.1763  -0.3158  -0.2748  -0.5776  -0.3635   0.247   4.0x
prev day low -> 1m BOS, target 1R             EQ   130  -0.4137  -0.3654  -0.4443  -0.4499  -0.4730   0.253   3.9x
prev day low -> 1m BOS, target 1R            FVG    38  -0.5320  -0.4268  -0.4443  -0.4499  -0.4298   0.228   4.4x
prev day low -> 1m BOS, target 1R         EITHER   144  -0.4276  -0.3625  -0.4443  -0.4499  -0.4635   0.255   3.9x
prev day low -> 1m BOS, target 1R         EQ_LEG   127  -0.4040  -0.3727  -0.4443  -0.4499  -0.4805   0.247   4.0x
prev day low -> 1m BOS, target 2R             EQ   130  -0.4050  -0.3635  -0.4701  -0.4568  -0.5315   0.253   3.9x
prev day low -> 1m BOS, target 2R            FVG    38  -0.5476  -0.3587  -0.4701  -0.4568  -0.4573   0.228   4.4x
prev day low -> 1m BOS, target 2R         EITHER   144  -0.4227  -0.3599  -0.4701  -0.4568  -0.5252   0.255   3.9x
prev day low -> 1m BOS, target 2R         EQ_LEG   127  -0.3883  -0.3551  -0.4701  -0.4568  -0.5438   0.247   4.0x
prev day low -> 1m BOS, target 3R             EQ   130  -0.3828  -0.3328  -0.4442  -0.4592  -0.5021   0.253   3.9x
prev day low -> 1m BOS, target 3R            FVG    38  -0.5191  -0.3582  -0.4442  -0.4592  -0.4318   0.228   4.4x
prev day low -> 1m BOS, target 3R         EITHER   144  -0.3992  -0.3429  -0.4442  -0.4592  -0.4964   0.255   3.9x
prev day low -> 1m BOS, target 3R         EQ_LEG   127  -0.3519  -0.2825  -0.4442  -0.4592  -0.5274   0.247   4.0x
prev day high -> 1m BOS, hold 24h             EQ   125  -0.5287  -0.3292  -0.4207  -0.3934  -0.3369   0.279   3.6x
prev day high -> 1m BOS, hold 24h            FVG    31  -0.5234  -0.4225  -0.4207  -0.3934  -0.4082   0.247   4.0x
prev day high -> 1m BOS, hold 24h         EITHER   140  -0.5223  -0.3608  -0.4207  -0.3934  -0.3233   0.276   3.6x
prev day high -> 1m BOS, hold 24h         EQ_LEG   126  -0.5398  -0.2071  -0.4207  -0.3934  -0.3269   0.240   4.2x
prev day high -> 1m BOS, target 1R            EQ   125  -0.4189  -0.3920  -0.4500  -0.4234  -0.4742   0.279   3.6x
prev day high -> 1m BOS, target 1R           FVG    31  -0.4443  -0.3836  -0.4500  -0.4234  -0.4507   0.247   4.0x
prev day high -> 1m BOS, target 1R        EITHER   140  -0.4242  -0.3982  -0.4500  -0.4234  -0.4748   0.276   3.6x
prev day high -> 1m BOS, target 1R        EQ_LEG   126  -0.4299  -0.4311  -0.4500  -0.4234  -0.4659   0.240   4.2x
prev day high -> 1m BOS, target 2R            EQ   125  -0.4401  -0.4452  -0.4240  -0.4442  -0.4115   0.279   3.6x
prev day high -> 1m BOS, target 2R           FVG    31  -0.3679  -0.4062  -0.4240  -0.4442  -0.4308   0.247   4.0x
prev day high -> 1m BOS, target 2R        EITHER   140  -0.4325  -0.4601  -0.4240  -0.4442  -0.4159   0.276   3.6x
prev day high -> 1m BOS, target 2R        EQ_LEG   126  -0.4505  -0.4069  -0.4240  -0.4442  -0.4032   0.240   4.2x
prev day high -> 1m BOS, target 3R            EQ   125  -0.4512  -0.3878  -0.3976  -0.4756  -0.3560   0.279   3.6x
prev day high -> 1m BOS, target 3R           FVG    31  -0.4576  -0.4038  -0.3976  -0.4756  -0.3903   0.247   4.0x
prev day high -> 1m BOS, target 3R        EITHER   140  -0.4386  -0.4142  -0.3976  -0.4756  -0.3583   0.276   3.6x
prev day high -> 1m BOS, target 3R        EQ_LEG   126  -0.4539  -0.3498  -0.3976  -0.4756  -0.3533   0.240   4.2x
last session low -> 1m BOS, hold 24h          EQ   276  -0.3404  -0.4857  -0.3784  -0.4463  -0.4157   0.268   3.7x
last session low -> 1m BOS, hold 24h         FVG    77   0.0871  -0.1158  -0.3784  -0.4463  -0.4531   0.233   4.3x
last session low -> 1m BOS, hold 24h      EITHER   305  -0.2296  -0.4371  -0.3784  -0.4463  -0.5585   0.265   3.8x
last session low -> 1m BOS, hold 24h      EQ_LEG   276  -0.3270  -0.4095  -0.3784  -0.4463  -0.4289   0.234   4.3x
last session low -> 1m BOS, target 1R         EQ   276  -0.4626  -0.5262  -0.4630  -0.4947  -0.4635   0.268   3.7x
last session low -> 1m BOS, target 1R        FVG    77  -0.4587  -0.5677  -0.4630  -0.4947  -0.4637   0.233   4.3x
last session low -> 1m BOS, target 1R     EITHER   305  -0.4567  -0.5222  -0.4630  -0.4947  -0.4708   0.265   3.8x
last session low -> 1m BOS, target 1R     EQ_LEG   276  -0.4716  -0.5013  -0.4630  -0.4947  -0.4546   0.234   4.3x
last session low -> 1m BOS, target 2R         EQ   276  -0.3920  -0.5323  -0.4327  -0.4586  -0.4728   0.268   3.7x
last session low -> 1m BOS, target 2R        FVG    77  -0.3856  -0.5100  -0.4327  -0.4586  -0.4403   0.233   4.3x
last session low -> 1m BOS, target 2R     EITHER   305  -0.3791  -0.5204  -0.4327  -0.4586  -0.4976   0.265   3.8x
last session low -> 1m BOS, target 2R     EQ_LEG   276  -0.4075  -0.4938  -0.4327  -0.4586  -0.4575   0.234   4.3x
last session low -> 1m BOS, target 3R         EQ   276  -0.3490  -0.5424  -0.4004  -0.4193  -0.4508   0.268   3.7x
last session low -> 1m BOS, target 3R        FVG    77  -0.3530  -0.5155  -0.4004  -0.4193  -0.4080   0.233   4.3x
last session low -> 1m BOS, target 3R     EITHER   305  -0.3338  -0.5225  -0.4004  -0.4193  -0.4810   0.265   3.8x
last session low -> 1m BOS, target 3R     EQ_LEG   276  -0.3725  -0.4827  -0.4004  -0.4193  -0.4278   0.234   4.3x
last session high -> 1m BOS, hold 24h         EQ   272  -0.4390  -0.0389  -0.5341  -0.2174  -0.6237   0.249   4.0x
last session high -> 1m BOS, hold 24h        FVG    85  -0.2801  -0.5777  -0.5341  -0.2174  -0.5795   0.228   4.4x
last session high -> 1m BOS, hold 24h     EITHER   297  -0.4637  -0.0632  -0.5341  -0.2174  -0.6134   0.247   4.0x
last session high -> 1m BOS, hold 24h     EQ_LEG   271  -0.4809   0.0436  -0.5341  -0.2174  -0.5838   0.226   4.4x
last session high -> 1m BOS, target 1R        EQ   272  -0.3907  -0.4577  -0.4791  -0.4566  -0.5623   0.249   4.0x
last session high -> 1m BOS, target 1R       FVG    85  -0.4282  -0.6118  -0.4791  -0.4566  -0.4882   0.228   4.4x
last session high -> 1m BOS, target 1R    EITHER   297  -0.3957  -0.4602  -0.4791  -0.4566  -0.5729   0.247   4.0x
last session high -> 1m BOS, target 1R    EQ_LEG   271  -0.4138  -0.4314  -0.4791  -0.4566  -0.5401   0.226   4.4x
last session high -> 1m BOS, target 2R        EQ   272  -0.3671  -0.3465  -0.4767  -0.4033  -0.5800   0.249   4.0x
last session high -> 1m BOS, target 2R       FVG    85  -0.3912  -0.6432  -0.4767  -0.4033  -0.4920   0.228   4.4x
last session high -> 1m BOS, target 2R    EITHER   297  -0.3737  -0.3623  -0.4767  -0.4033  -0.5927   0.247   4.0x
last session high -> 1m BOS, target 2R    EQ_LEG   271  -0.4052  -0.3206  -0.4767  -0.4033  -0.5436   0.226   4.4x
last session high -> 1m BOS, target 3R        EQ   272  -0.3711  -0.3475  -0.4776  -0.4212  -0.5777   0.249   4.0x
last session high -> 1m BOS, target 3R       FVG    85  -0.4356  -0.6357  -0.4776  -0.4212  -0.4851   0.228   4.4x
last session high -> 1m BOS, target 3R    EITHER   297  -0.3852  -0.3657  -0.4776  -0.4212  -0.5815   0.247   4.0x
last session high -> 1m BOS, target 3R    EQ_LEG   271  -0.4068  -0.3335  -0.4776  -0.4212  -0.5437   0.226   4.4x
1h swing low -> 1m BOS, hold 24h              EQ   439  -0.3334  -0.5123  -0.4229  -0.5792  -0.5144   0.249   4.0x
1h swing low -> 1m BOS, hold 24h             FVG   128  -0.3938  -0.2198  -0.4229  -0.5792  -0.4280   0.226   4.4x
1h swing low -> 1m BOS, hold 24h          EITHER   478  -0.3350  -0.5197  -0.4229  -0.5792  -0.5305   0.252   4.0x
1h swing low -> 1m BOS, hold 24h          EQ_LEG   427  -0.3806  -0.4206  -0.4229  -0.5792  -0.4638   0.215   4.6x
1h swing low -> 1m BOS, target 1R             EQ   439  -0.4568  -0.4471  -0.4586  -0.4601  -0.4604   0.249   4.0x
1h swing low -> 1m BOS, target 1R            FVG   128  -0.4854  -0.4683  -0.4586  -0.4601  -0.4539   0.226   4.4x
1h swing low -> 1m BOS, target 1R         EITHER   478  -0.4598  -0.4540  -0.4586  -0.4601  -0.4571   0.252   4.0x
1h swing low -> 1m BOS, target 1R         EQ_LEG   427  -0.4686  -0.4546  -0.4586  -0.4601  -0.4489   0.215   4.6x
1h swing low -> 1m BOS, target 2R             EQ   439  -0.4136  -0.4594  -0.4232  -0.4592  -0.4331   0.249   4.0x
1h swing low -> 1m BOS, target 2R            FVG   128  -0.4481  -0.3681  -0.4232  -0.4592  -0.4190   0.226   4.4x
1h swing low -> 1m BOS, target 2R         EITHER   478  -0.4184  -0.4517  -0.4232  -0.4592  -0.4292   0.252   4.0x
1h swing low -> 1m BOS, target 2R         EQ_LEG   427  -0.4358  -0.4491  -0.4232  -0.4592  -0.4111   0.215   4.6x
1h swing low -> 1m BOS, target 3R             EQ   439  -0.3654  -0.4969  -0.4007  -0.4817  -0.4367   0.249   4.0x
1h swing low -> 1m BOS, target 3R            FVG   128  -0.4366  -0.3544  -0.4007  -0.4817  -0.3945   0.226   4.4x
1h swing low -> 1m BOS, target 3R         EITHER   478  -0.3692  -0.4887  -0.4007  -0.4817  -0.4391   0.252   4.0x
1h swing low -> 1m BOS, target 3R         EQ_LEG   427  -0.4003  -0.4355  -0.4007  -0.4817  -0.4010   0.215   4.6x
1h swing high -> 1m BOS, hold 24h             EQ   385  -0.4772  -0.0826  -0.4887  -0.2552  -0.4980   0.243   4.1x
1h swing high -> 1m BOS, hold 24h            FVG   134  -0.3194  -0.3603  -0.4887  -0.2552  -0.5199   0.217   4.6x
1h swing high -> 1m BOS, hold 24h         EITHER   438  -0.4954  -0.0880  -0.4887  -0.2552  -0.4818   0.242   4.1x
1h swing high -> 1m BOS, hold 24h         EQ_LEG   364  -0.5148  -0.1331  -0.4887  -0.2552  -0.4696   0.219   4.6x
1h swing high -> 1m BOS, target 1R            EQ   385  -0.4429  -0.3903  -0.4735  -0.4241  -0.4983   0.243   4.1x
1h swing high -> 1m BOS, target 1R           FVG   134  -0.4680  -0.5090  -0.4735  -0.4241  -0.4746   0.217   4.6x
1h swing high -> 1m BOS, target 1R        EITHER   438  -0.4467  -0.4053  -0.4735  -0.4241  -0.5014   0.242   4.1x
1h swing high -> 1m BOS, target 1R        EQ_LEG   364  -0.4564  -0.4052  -0.4735  -0.4241  -0.4861   0.219   4.6x
1h swing high -> 1m BOS, target 2R            EQ   385  -0.4108  -0.3574  -0.4490  -0.3916  -0.4799   0.243   4.1x
1h swing high -> 1m BOS, target 2R           FVG   134  -0.4570  -0.4472  -0.4490  -0.3916  -0.4476   0.217   4.6x
1h swing high -> 1m BOS, target 2R        EITHER   438  -0.4163  -0.3707  -0.4490  -0.3916  -0.4829   0.242   4.1x
1h swing high -> 1m BOS, target 2R        EQ_LEG   364  -0.4305  -0.3653  -0.4490  -0.3916  -0.4626   0.219   4.6x
1h swing high -> 1m BOS, target 3R            EQ   385  -0.4036  -0.3342  -0.4469  -0.4136  -0.4820   0.243   4.1x
1h swing high -> 1m BOS, target 3R           FVG   134  -0.4446  -0.3552  -0.4469  -0.4136  -0.4474   0.217   4.6x
1h swing high -> 1m BOS, target 3R        EITHER   438  -0.4086  -0.3422  -0.4469  -0.4136  -0.4866   0.242   4.1x
1h swing high -> 1m BOS, target 3R        EQ_LEG   364  -0.4364  -0.3669  -0.4469  -0.4136  -0.4547   0.219   4.6x
4h swing low -> 1m BOS, hold 24h              EQ   181  -0.1642  -0.3467  -0.3474  -0.4258  -0.5053   0.253   4.0x
4h swing low -> 1m BOS, hold 24h             FVG    50   0.0079   0.1837  -0.3474  -0.4258  -0.3995   0.245   4.1x
4h swing low -> 1m BOS, hold 24h          EITHER   200  -0.1037  -0.3755  -0.3474  -0.4258  -0.6025   0.257   3.9x
4h swing low -> 1m BOS, hold 24h          EQ_LEG   180  -0.1795  -0.2964  -0.3474  -0.4258  -0.4907   0.227   4.4x
4h swing low -> 1m BOS, target 1R             EQ   181  -0.4478  -0.4381  -0.4676  -0.4487  -0.4847   0.253   4.0x
4h swing low -> 1m BOS, target 1R            FVG    50  -0.5002  -0.4373  -0.4676  -0.4487  -0.4628   0.245   4.1x
4h swing low -> 1m BOS, target 1R         EITHER   200  -0.4467  -0.4369  -0.4676  -0.4487  -0.4894   0.257   3.9x
4h swing low -> 1m BOS, target 1R         EQ_LEG   180  -0.4613  -0.4573  -0.4676  -0.4487  -0.4730   0.227   4.4x
4h swing low -> 1m BOS, target 2R             EQ   181  -0.3992  -0.3581  -0.4645  -0.3657  -0.5209   0.253   4.0x
4h swing low -> 1m BOS, target 2R            FVG    50  -0.5055  -0.2776  -0.4645  -0.3657  -0.4585   0.245   4.1x
4h swing low -> 1m BOS, target 2R         EITHER   200  -0.4047  -0.3528  -0.4645  -0.3657  -0.5272   0.257   3.9x
4h swing low -> 1m BOS, target 2R         EQ_LEG   180  -0.4248  -0.3804  -0.4645  -0.3657  -0.4984   0.227   4.4x
4h swing low -> 1m BOS, target 3R             EQ   181  -0.3334  -0.3446  -0.4336  -0.3789  -0.5199   0.253   4.0x
4h swing low -> 1m BOS, target 3R            FVG    50  -0.4594  -0.2013  -0.4336  -0.3789  -0.4298   0.245   4.1x
4h swing low -> 1m BOS, target 3R         EITHER   200  -0.3343  -0.3518  -0.4336  -0.3789  -0.5375   0.257   3.9x
4h swing low -> 1m BOS, target 3R         EQ_LEG   180  -0.3598  -0.3173  -0.4336  -0.3789  -0.4965   0.227   4.4x
4h swing high -> 1m BOS, hold 24h             EQ   171  -0.4859  -0.1436  -0.4835  -0.2897  -0.4818   0.229   4.4x
4h swing high -> 1m BOS, hold 24h            FVG    47  -0.4280  -0.4464  -0.4835  -0.2897  -0.4908   0.238   4.2x
4h swing high -> 1m BOS, hold 24h         EITHER   192  -0.5083  -0.1530  -0.4835  -0.2897  -0.4614   0.233   4.3x
4h swing high -> 1m BOS, hold 24h         EQ_LEG   179  -0.5004  -0.2260  -0.4835  -0.2897  -0.4703   0.190   5.3x
4h swing high -> 1m BOS, target 1R            EQ   171  -0.4520  -0.3922  -0.5026  -0.3895  -0.5392   0.229   4.4x
4h swing high -> 1m BOS, target 1R           FVG    47  -0.4919  -0.4182  -0.5026  -0.3895  -0.5040   0.238   4.2x
4h swing high -> 1m BOS, target 1R        EITHER   192  -0.4534  -0.3864  -0.5026  -0.3895  -0.5465   0.233   4.3x
4h swing high -> 1m BOS, target 1R        EQ_LEG   179  -0.4679  -0.4058  -0.5026  -0.3895  -0.5298   0.190   5.3x
4h swing high -> 1m BOS, target 2R            EQ   171  -0.4386  -0.2908  -0.4764  -0.3582  -0.5038   0.229   4.4x
4h swing high -> 1m BOS, target 2R           FVG    47  -0.4416  -0.4747  -0.4764  -0.3582  -0.4810   0.238   4.2x
4h swing high -> 1m BOS, target 2R        EITHER   192  -0.4356  -0.3054  -0.4764  -0.3582  -0.5128   0.233   4.3x
4h swing high -> 1m BOS, target 2R        EQ_LEG   179  -0.4532  -0.3346  -0.4764  -0.3582  -0.4946   0.190   5.3x
4h swing high -> 1m BOS, target 3R            EQ   171  -0.4674  -0.2736  -0.4779  -0.3473  -0.4855   0.229   4.4x
4h swing high -> 1m BOS, target 3R           FVG    47  -0.5008  -0.4868  -0.4779  -0.3473  -0.4749   0.238   4.2x
4h swing high -> 1m BOS, target 3R        EITHER   192  -0.4584  -0.2917  -0.4779  -0.3473  -0.4953   0.233   4.3x
4h swing high -> 1m BOS, target 3R        EQ_LEG   179  -0.4812  -0.3368  -0.4779  -0.3473  -0.4753   0.190   5.3x

==============================================================================================================
VERDICT
==============================================================================================================
96 partition cells scored (the three qualifying filters over the
round-450 arm-B cells thick enough to score).
EXPECTED BY CHANCE with no partition effect at all: a symmetric
zero-mean cell passes both slices about 1 time in 4, and beats its
parent on both slices about 1 time in 4 again, so roughly
6.0 of 96 would clear the full bar on luck alone.

CELLS CLEARING THE FULL BAR: 1
                            name filt  n_tr  n_va   net_tr   net_va  gross_tr    par_tr    par_va   comp_tr     stop      lev  assets
4h swing low -> 1m BOS, hold 24h  FVG    50    21 0.007881 0.183664  0.507881 -0.347394 -0.425813 -0.399487 0.244922 4.082928       2

==============================================================================================================
DOES THE CONFLUENCE SELECT A BETTER SUBSET? - choosing slice, GROSS, one row per entry
==============================================================================================================
population                          entries  mean gross       t  median stop  lev @1%
parent (bare sweep -> 1m BOS)         3,140     0.0538%    2.58       0.211%     4.7x
  kept by EQ                          1,421     0.0779%    2.66       0.194%     5.2x
  thrown away by EQ                   1,719     0.0339%    1.15       0.231%     4.3x
  kept by FVG                           437     0.2265%    3.06       0.184%     5.4x
  thrown away by FVG                  2,703     0.0259%    1.23       0.217%     4.6x
  kept by EITHER                      1,593     0.0959%    3.22       0.195%     5.1x
  thrown away by EITHER               1,547     0.0105%    0.36       0.233%     4.3x
  kept by EQ_LEG                      1,417     0.0595%    2.15       0.166%     6.0x
  thrown away by EQ_LEG               1,723     0.0491%    1.61       0.251%     4.0x

kept minus thrown away, the only comparison that tests the partition:
  EQ       +0.0440% of price per entry   t =   1.06   kept 1,421 / thrown 1,719
  FVG      +0.2007% of price per entry   t =   2.61   kept 437 / thrown 2,703
  EITHER   +0.0854% of price per entry   t =   2.05   kept 1,593 / thrown 1,547
  EQ_LEG   +0.0103% of price per entry   t =   0.25   kept 1,417 / thrown 1,723  (barred from qualifying)


==============================================================================================================
ROUND 475 - HIS CONTINUATION CONFLUENCES AS PARTITIONS OF ROUND 450's   [full]
==============================================================================================================
window 2021-01-01 -> 2026-07-26 UTC (2032 days)
choosing -> 2024-05-04 18:24,  middle -> 2025-06-15 06:32,  sealed 2025-06-15 -> 2026-07-26
sealed look permitted from this window: NO
parent population = round 450 arm B (1-minute trigger), unchanged.
confluences read on the FIVE-minute chart (step432 s2), evaluated at
the close of the 1-minute trigger bar. Order blocks and breaker
blocks are NOT built (step436 s1 - he retired them).
cost 0.5% of notional round trip, charged for honesty and
used to decide nothing (owner rule 2026-07-25).
  BTCUSD: 5m 578,831 bars, 1m 2,597,036 bars, 151,875 five-minute gaps found
  ETHUSD: 5m 580,432 bars, 1m 2,538,368 bars, 173,717 five-minute gaps found
  SOLUSD: 5m 457,955 bars, 1m 1,955,709 bars, 147,563 five-minute gaps found

--------------------------------------------------------------------------------------------------------------
WHAT THE CONFLUENCE REQUIREMENT ACTUALLY REMOVES (all entries, all slices)
--------------------------------------------------------------------------------------------------------------
partition                             entries kept   share of parent
parent (bare sweep -> 1m BOS)               96,528            100.0%
EQ                                          53,986             55.9%
FVG                                         16,799             17.4%
EITHER                                      59,589             61.7%
EQ_LEG (reported only, barred)              52,022             53.9%

His own check (step436 s11): he trades a third to two thirds of days.
A partition that keeps nearly everything has not filtered anything.

==============================================================================================================
EACH CELL, PARENT vs PARTITION vs COMPLEMENT  (net %, pooled BTC+ETH+SOL)
==============================================================================================================
cell                                      filter  n_tr    netTR    netVA    parTR    parVA   compTR   stop%    lev
prev day low -> 1m BOS, hold 24h              EQ  2142  -0.1050  -0.2581  -0.1406  -0.3091  -0.1946   0.470   2.1x
prev day low -> 1m BOS, hold 24h             FVG   450  -0.3157  -0.1803  -0.1406  -0.3091  -0.1152   0.349   2.9x
prev day low -> 1m BOS, hold 24h          EITHER  2239  -0.1069  -0.2671  -0.1406  -0.3091  -0.1978   0.463   2.2x
prev day low -> 1m BOS, hold 24h          EQ_LEG  2059  -0.1411  -0.2735  -0.1406  -0.3091  -0.1397   0.384   2.6x
prev day low -> 1m BOS, target 1R             EQ  2142  -0.3714  -0.3996  -0.3892  -0.4145  -0.4163   0.470   2.1x
prev day low -> 1m BOS, target 1R            FVG   450  -0.4013  -0.3869  -0.3892  -0.4145  -0.3875   0.349   2.9x
prev day low -> 1m BOS, target 1R         EITHER  2239  -0.3712  -0.4020  -0.3892  -0.4145  -0.4200   0.463   2.2x
prev day low -> 1m BOS, target 1R         EQ_LEG  2059  -0.3871  -0.4056  -0.3892  -0.4145  -0.3921   0.384   2.6x
prev day low -> 1m BOS, target 2R             EQ  2142  -0.2872  -0.3485  -0.3265  -0.3800  -0.3863   0.470   2.1x
prev day low -> 1m BOS, target 2R            FVG   450  -0.3286  -0.3339  -0.3265  -0.3800  -0.3262   0.349   2.9x
prev day low -> 1m BOS, target 2R         EITHER  2239  -0.2878  -0.3566  -0.3265  -0.3800  -0.3925   0.463   2.2x
prev day low -> 1m BOS, target 2R         EQ_LEG  2059  -0.3151  -0.3585  -0.3265  -0.3800  -0.3423   0.384   2.6x
prev day low -> 1m BOS, target 3R             EQ  2142  -0.2632  -0.2960  -0.3106  -0.3517  -0.3826   0.470   2.1x
prev day low -> 1m BOS, target 3R            FVG   450  -0.3209  -0.3081  -0.3106  -0.3517  -0.3091   0.349   2.9x
prev day low -> 1m BOS, target 3R         EITHER  2239  -0.2633  -0.3278  -0.3106  -0.3517  -0.3912   0.463   2.2x
prev day low -> 1m BOS, target 3R         EQ_LEG  2059  -0.2815  -0.2985  -0.3106  -0.3517  -0.3507   0.384   2.6x
prev day high -> 1m BOS, hold 24h             EQ  2202  -0.2077  -0.3506  -0.3096  -0.3640  -0.4589   0.384   2.6x
prev day high -> 1m BOS, hold 24h            FVG   484  -0.1488  -0.5255  -0.3096  -0.3640  -0.3338   0.289   3.5x
prev day high -> 1m BOS, hold 24h         EITHER  2313  -0.2095  -0.3722  -0.3096  -0.3640  -0.4758   0.380   2.6x
prev day high -> 1m BOS, hold 24h         EQ_LEG  2115  -0.2330  -0.3213  -0.3096  -0.3640  -0.4115   0.330   3.0x
prev day high -> 1m BOS, target 1R            EQ  2202  -0.3856  -0.4165  -0.4529  -0.4108  -0.5514   0.384   2.6x
prev day high -> 1m BOS, target 1R           FVG   484  -0.4466  -0.4337  -0.4529  -0.4108  -0.4538   0.289   3.5x
prev day high -> 1m BOS, target 1R        EITHER  2313  -0.3922  -0.4184  -0.4529  -0.4108  -0.5536   0.380   2.6x
prev day high -> 1m BOS, target 1R        EQ_LEG  2115  -0.4062  -0.4164  -0.4529  -0.4108  -0.5150   0.330   3.0x
prev day high -> 1m BOS, target 2R            EQ  2202  -0.3125  -0.3709  -0.3897  -0.3719  -0.5028   0.384   2.6x
prev day high -> 1m BOS, target 2R           FVG   484  -0.3858  -0.4537  -0.3897  -0.3719  -0.3903   0.289   3.5x
prev day high -> 1m BOS, target 2R        EITHER  2313  -0.3213  -0.3800  -0.3897  -0.3719  -0.5033   0.380   2.6x
prev day high -> 1m BOS, target 2R        EQ_LEG  2115  -0.3406  -0.3652  -0.3897  -0.3719  -0.4551   0.330   3.0x
prev day high -> 1m BOS, target 3R            EQ  2202  -0.2653  -0.3411  -0.3591  -0.3265  -0.4966   0.384   2.6x
prev day high -> 1m BOS, target 3R           FVG   484  -0.3479  -0.4454  -0.3591  -0.3265  -0.3608   0.289   3.5x
prev day high -> 1m BOS, target 3R        EITHER  2313  -0.2745  -0.3510  -0.3591  -0.3265  -0.4996   0.380   2.6x
prev day high -> 1m BOS, target 3R        EQ_LEG  2115  -0.2947  -0.3493  -0.3591  -0.3265  -0.4448   0.330   3.0x
