shape,dial,source_market,source_value,source_selectivity_pct,eth_value,eth_selectivity_pct,note
A vol-gated trend,minimum ATR% to allow an entry (4h bars),Bitcoin 4h,1.50%,63.20788745942046,1.80%,63.2012498224684,Ethereum's own median ATR on 4h bars is 2.090% of price; Bitcoin's 4h median is 1.741%. Copying 1.50% straight across would have left the gate open on 76.4% of Ethereum's 4h bars instead of 63.2% — the selectivity would have been thrown away.
A vol-gated trend,minimum ATR% to allow an entry (1h bars),Bitcoin 4h,1.50%,63.20788745942046,0.83%,63.20905317677108,Ethereum's own median ATR on 1h bars is 0.977% of price; Bitcoin's 4h median is 1.741%. Copying 1.50% straight across would have left the gate open on 18.4% of Ethereum's 1h bars instead of 63.2% — the selectivity would have been thrown away.
B donchian breakout,channel length (1d bars),gold daily (GLD + GC=F),20 bars,34.18936158498451,15 bars,35.43441226575809,"Gold's rule holds a position 34.2% of the time and enters 5.4 times a year. Ethereum's 15-bar channel on 1d bars is the length that reproduces gold's fraction-of-time-in-the-market (35.4%), and it enters 8 times a year. Copying N=20 onto Ethereum 1d bars would have held a position 30.6% of the time at 6 entries a year instead."
B donchian breakout,channel length (4h bars),gold daily (GLD + GC=F),20 bars,34.18936158498451,15 bars,33.78781423093311,"Gold's rule holds a position 34.2% of the time and enters 5.4 times a year. Ethereum's 15-bar channel on 4h bars is the length that reproduces gold's fraction-of-time-in-the-market (33.8%), and it enters 46 times a year. Copying N=20 onto Ethereum 4h bars would have held a position 30.5% of the time at 39 entries a year instead."
B donchian breakout,channel length (1h bars),gold daily (GLD + GC=F),20 bars,34.18936158498451,10 bars,35.54578026889922,"Gold's rule holds a position 34.2% of the time and enters 5.4 times a year. Ethereum's 10-bar channel on 1h bars is the length that reproduces gold's fraction-of-time-in-the-market (35.5%), and it enters 227 times a year. Copying N=20 onto Ethereum 1h bars would have held a position 28.2% of the time at 147 entries a year instead."
C RSI dip-buy,RSI(2) entry threshold (1d bars),S&P tracker daily,below 5,5.048505246485845,below 5.30,5.123825789923143,"Copying 'below 5' straight onto Ethereum 1d bars would have fired on 4.53% of them, less often than on the S&P (5.05%) — a 0.90x change in how picky the rule is."
C RSI dip-buy,trend filter length (1d bars),S&P tracker daily,200-day average,66.15901898734177,100-bar average,52.4701873935264,"The S&P sits above its 200-day average 66.2% of the time — the rule's 'only buy dips in an uptrend' precondition is nearly always true there. Ethereum sits above its own 200-bar average on 1d bars only 45.7% of the time, so the ported filter would be a far harsher gate than the one that was validated. 100 bars is the length that reproduces the S&P's own permissiveness on Ethereum. BOTH are carried into the test as separate cells, chosen on train only."
C RSI dip-buy,RSI(2) entry threshold (4h bars),S&P tracker daily,below 5,5.048505246485845,below 4.01,5.056818181818182,"Copying 'below 5' straight onto Ethereum 4h bars would have fired on 6.28% of them, more often than on the S&P (5.05%) — a 1.24x change in how picky the rule is."
C RSI dip-buy,trend filter length (4h bars),S&P tracker daily,200-day average,66.15901898734177,50-bar average,52.76239170572362,"The S&P sits above its 200-day average 66.2% of the time — the rule's 'only buy dips in an uptrend' precondition is nearly always true there. Ethereum sits above its own 200-bar average on 4h bars only 46.2% of the time, so the ported filter would be a far harsher gate than the one that was validated. 50 bars is the length that reproduces the S&P's own permissiveness on Ethereum. BOTH are carried into the test as separate cells, chosen on train only."
C RSI dip-buy,RSI(2) entry threshold (1h bars),S&P tracker daily,below 5,5.048505246485845,below 4.42,5.048426579628907,"Copying 'below 5' straight onto Ethereum 1h bars would have fired on 5.75% of them, more often than on the S&P (5.05%) — a 1.14x change in how picky the rule is."
C RSI dip-buy,trend filter length (1h bars),S&P tracker daily,200-day average,66.15901898734177,150-bar average,53.16967611479655,"The S&P sits above its 200-day average 66.2% of the time — the rule's 'only buy dips in an uptrend' precondition is nearly always true there. Ethereum sits above its own 200-bar average on 1h bars only 52.5% of the time, so the ported filter would be a far harsher gate than the one that was validated. 150 bars is the length that reproduces the S&P's own permissiveness on Ethereum. BOTH are carried into the test as separate cells, chosen on train only."
D flag touch,protective stop distance (1h bars),Bitcoin 2h,1.85 x 1.19% median ATR = 2.20%,,1.85 x 0.977% median ATR = 1.81%,,Bitcoin's 2h median ATR was 1.19% of price when this was set. Ethereum's 1h median is 0.977%. The multiplier is the shape; the distance is Ethereum's own. NOTE: the real test below replaces even this with a per-trade chart-structure stop from exits.py — the ATR figure is recorded only to show how far the ported constant would have been from Ethereum's own geometry.
D flag touch,protective stop distance (4h bars),Bitcoin 2h,1.85 x 1.19% median ATR = 2.20%,,1.85 x 2.090% median ATR = 3.87%,,Bitcoin's 2h median ATR was 1.19% of price when this was set. Ethereum's 4h median is 2.090%. The multiplier is the shape; the distance is Ethereum's own. NOTE: the real test below replaces even this with a per-trade chart-structure stop from exits.py — the ATR figure is recorded only to show how far the ported constant would have been from Ethereum's own geometry.
E turn of the month,window width,S&P tracker daily,3 trading days before month end through 3 into the new month,33.504746835443036,3 calendar days before month end through 3 into the new month,23.253833049403745,"The S&P's 7-trading-day window covers 33.5% of its bars. Ethereum trades every calendar day, so the same 7 CALENDAR days cover only 23.3% of Ethereum's bars — a narrower slice of the year. The window is therefore also tested widened to the same fraction of the year the S&P version covers, so the shape is compared like for like rather than by its label."
